year,median
1982,-4.8708670957000001e-09
1983,-7.0341580526300009e-07
1984,-3.4798773618749998e-07
1985,-6.3570866490800004e-07
1986,-7.0676570727750002e-07
1987,-1.1665265051074999e-07
1988,-2.7664830030649999e-07
1989,-1.3920144229150001e-06
1990,-1.39168839976e-06
1991,-1.3917590015950002e-06
1992,-2.8389389614199998e-06
1993,-2.8123418158999999e-06
1994,-2.8115323619199998e-06
1995,-1.9611182827999999e-06
1996,-1.6102430712040002e-06
1997,-1.6134064035410001e-06
1998,-2.8272268670849997e-06
1999,-2.687436684415e-06
2000,-2.5606076340399999e-06
2001,-2.1690109909500001e-06
2002,-2.1069657900350004e-06
2003,-2.0117516540949999e-06
2004,-1.9392359837750002e-06
2005,-2.0249043073599999e-06
2006,-1.6796746043800001e-06
2007,-1.553522817795e-06
2008,-1.3797769572e-06
2009,-9.9560671347499992e-07
2010,-1.1686966919520001e-06
2011,0.28649177935949999
2012,0.56873835214050006
2013,1.0562637026349999
2014,1.5492956551099999
2015,2.01801025369
2016,2.0617018526250002
2017,2.4511772832099998
2018,2.8548626403999999
2019,3.2388297278099998
2020,3.7393434011949997
2021,3.85269862041
2022,4.2000674649850005
2023,5.0202262404599995
2024,5.4225756982550006
2025,6.0878283276499996
2026,6.5049631565299997
2027,7.2944814678200007
2028,7.7654081405450004
2029,8.2582927394250003
2030,9.1075563581549996
2031,9.6999044303250006
2032,10.17197440662
2033,11.145413127000001
2034,11.45158446005
2035,12.4057638088
2036,13.29860941415
2037,14.118620978399999
2038,14.482171885949999
2039,14.75537233725
2040,15.73321628115
2041,16.28865517885
2042,16.842259911349998
2043,17.594463974
2044,18.319011836800001
2045,18.928945753150003
2046,19.5011470755
2047,20.47116298605
2048,21.519497633649998
2049,22.499364336950002
2050,23.44310701365
2051,24.4689322971
2052,25.122515684650001
2053,26.114565421249999
2054,27.41339158085
2055,28.588560989450002
2056,29.477802034900002
2057,30.161248919949998
2058,31.03818522505
2059,32.207275523950003
2060,33.595164408949998
2061,34.432630402100003
2062,34.921570228299998
2063,35.603891532600002
2064,36.495928608949995
2065,37.44736849025
2066,38.267182051500001
2067,39.033674177800002
2068,39.640045267550001
2069,40.515349020949998
2070,41.089327962600002
2071,41.728983424250004
2072,42.5569051401
2073,43.471076668549998
2074,44.213365948299995
2075,45.002614447399999
2076,45.476093896050003
2077,46.049655484699997
2078,46.703258415899995
2079,47.379639851549996
2080,48.304977975499995
2081,49.03626514295
2082,49.726990736049999
2083,50.353671345899997
2084,51.058611347349995
2085,51.979584291549997
2086,52.685636541850002
2087,53.50653943735
2088,54.281073629150001
2089,55.00567554125
2090,55.931923072250001
2091,56.682232128349995
2092,57.379165948899995
2093,58.220836430999995
2094,59.474656507999995
2095,60.360198672499997
2096,61.441698169049999
2097,62.634097668300001
2098,63.730090346899999
2099,64.445313852200002
