"binlo","binhi","intercept_coef","bindays_coef","gdppc_coef","popop_coef","intercept_serr","bindays_serr","gdppc_serr","popop_serr"
-Inf,-17,-0.150932876055554,0.0616718547484289,0.0509535840198279,-0.0380542367662809,1.75803374656839,0.0466723737437689,0.114769504194086,0.123576616805915
-17,-12,1.71191520200749,0.0368222434787025,-0.00507071599617134,-0.20080001824525,1.5377556279517,0.0311118532825091,0.105727560428162,0.111277996513214
-12,-7,2.40361953758048,-0.0733495916572637,0.41874243132832,-0.715987284201868,1.86989990506144,0.0154179431259195,0.129832672475316,0.124935591008443
-7,-2,1.63917464551001,-0.0330878383066101,0.211256317895598,-0.410976330671912,1.46503628742783,0.00872893977598371,0.122588034625644,0.0770998555319105
-2,3,0.388596028237379,-0.00274859457861249,0.0603940046240263,-0.101181823740174,0.861833276371539,0.003609062614354,0.0907270095295034,0.0488877100689798
3,8,1.59418013881672,0.00100028081199671,-0.043095264483284,-0.145237405288935,1.07755794169997,0.00260356686183394,0.103812633246098,0.0673117228228043
8,13,1.77694193413085,0.000420305834186249,-0.138196475721867,-0.0512377405447461,1.06822597461857,0.00216866231196195,0.0886366578949614,0.0726010409929393
13,18,0.893561831119511,0.00197745149459036,-0.127945470048941,0.0298190105698619,1.02370396723207,0.00146234137292985,0.072771510886604,0.058153106523591
23,28,-0.306660984500346,-0.00142082757434469,0.0166185837457285,0.0496847338490761,1.20914033009688,0.000881914125881601,0.0914413843007838,0.0706958050451293
28,33,10.9447764837157,-0.0139363150659237,-0.18544104702036,-1.0253945538231,4.19543918044505,0.00630412958190234,0.287256720047381,0.263373162751414
33,Inf,-0.0976010274905905,0.0651877524798878,-0.0102960415473247,0.0322170932199406,1.84758550959158,0.0223438782086622,0.119491049459347,0.116990165175235
